initialization,threshold,max_iterations,with_normals,initial_rmse,final_rmse,rmse_improvement,initial_fitness,final_fitness,fitness_improvement
Random Orthogonal,0.01,400,False,0.008604579653253957,0.0068231580463217175,0.0017814216069322398,0.00017611835153222966,0.0018932722789714689,0.0017171539274392392
Random Orthogonal,0.01,400,True,0.0,0.0,0.0,0.0,0.0,0.0
Random Orthogonal,0.1,400,False,0.06693252171217166,0.05437573733701667,0.012556784375154992,0.030204297287777387,0.17492955265938712,0.14472525537160974
Random Orthogonal,0.1,400,True,0.06906572759797727,0.064001158804408,0.005064568793569271,0.021895559210526317,0.03505345394736842,0.013157894736842101
Random Orthogonal,0.2,400,False,0.12572184619120916,0.09758907362197958,0.02813277256922958,0.10316132441000352,0.15141775272983446,0.048256428319830943
Random Orthogonal,0.2,400,True,0.12716070211919206,0.12404252717686051,0.0031181749423315475,0.043379934210526314,0.19716282894736842,0.1537828947368421
Random Orthogonal,0.5,400,False,0.3110939095170496,0.2290894043483669,0.08200450516868274,0.27395209580838326,0.6844839732300105,0.4105318774216273
Random Orthogonal,0.5,400,True,0.3074753944756482,0.24661791673620084,0.06085747773944736,0.14288651315789475,0.5746299342105263,0.4317434210526316
Random Orthogonal,1.0,400,False,0.5601530714917569,0.38648238040659144,0.17367069108516542,0.5151021486438887,0.8509598450158506,0.33585769637196194
Random Orthogonal,1.0,400,True,0.5969077324498062,0.4668631165200435,0.13004461592976274,0.3347039473684211,0.7454769736842105,0.41077302631578944
RANSAC with Normals,0.01,400,True,0.007127800067700247,0.006565542064213977,0.0005622580034862707,0.12273848684210527,0.26151315789473684,0.13877467105263158
RANSAC with Normals,0.1,400,True,0.02726937545048136,0.02465513204396998,0.002614243406511379,0.9690583881578947,0.9683388157894737,-0.0007195723684210176
RANSAC with Normals,0.2,400,True,0.033213507099324545,0.03133078872941759,0.0018827183699069577,0.9888980263157895,0.9888980263157895,0.0
RANSAC with Normals,0.5,400,True,0.043243785752588644,0.041626346991155944,0.0016174387614327004,0.9988692434210527,0.9988692434210527,0.0
RANSAC with Normals,1.0,400,True,0.04708071191268636,0.04542249484007293,0.0016582170726134327,0.9995888157894737,0.9995888157894737,0.0
