initialization,threshold,max_iterations,ransac_voxel_size,knn_normals,initial_rmse,final_rmse,rmse_improvement,initial_fitness,final_fitness,fitness_improvement
Random Orthogonal,0.02,50,,30,0.01519337448053988,0.0131231881746292,0.0020701863059106804,0.0013649172243747798,0.0020693906305036987,0.0007044734061289189
Random Orthogonal,0.02,100,,30,0.015134831785360249,0.013693902351594227,0.0014409294337660219,0.0011887988728425502,0.0018492426910884114,0.0006604438182458612
Random Orthogonal,0.02,200,,30,0.013705459699133265,0.013313149189137508,0.0003923105099957573,0.007529059528002818,0.008145473758365622,0.0006164142303628044
Random Orthogonal,0.05,50,,30,0.031636685364710156,0.032862953764031026,-0.0012262683993208706,0.01140366326171187,0.02712222613596337,0.015718562874251496
Random Orthogonal,0.05,100,,30,0.03627614008718173,0.030527390343917018,0.005748749743264715,0.009774568510038746,0.013825290595280029,0.0040507220852412824
Random Orthogonal,0.05,200,,30,0.03247494995868097,0.02531495810845141,0.007159991850229561,0.027738640366326173,0.0727809087706939,0.04504226840436773
Random Orthogonal,0.1,50,,30,0.06169061222187477,0.05767079688313921,0.0040198153387355565,0.040066924973582246,0.06340260655160268,0.023335681578020434
Random Orthogonal,0.1,100,,30,0.0641124057555599,0.0538437956279791,0.010268610127580804,0.031745332863684396,0.33585769637196194,0.30411236350827753
Random Orthogonal,0.1,200,,30,0.05947998372610587,0.04486105716986944,0.01461892655623643,0.08999647763296935,0.12750968650933428,0.03751320887636493
Random Orthogonal,0.2,50,,30,0.13118680095889296,0.10638572670862265,0.02480107425027031,0.07603909827404015,0.15700951039098274,0.08097041211694259
Random Orthogonal,0.2,100,,30,0.12413820505919691,0.09126785362102059,0.03287035143817632,0.047948221204649526,0.3429464600211342,0.2949982388164847
Random Orthogonal,0.2,200,,30,0.1271254311264925,0.09706660031130415,0.030058830815188342,0.10395385699189856,0.43532053539978866,0.3313666784078901
RANSAC (Features),0.02,50,0.05,30,0.013338760050744252,0.008659403244541806,0.004679356806202446,0.7724110602324762,0.8443994364212751,0.07198837618879894
RANSAC (Features),0.02,100,0.05,30,0.013338760050744252,0.008659403244541801,0.004679356806202451,0.7724110602324762,0.8443994364212751,0.07198837618879894
RANSAC (Features),0.02,200,0.05,30,0.013338760050744252,0.00865940324454179,0.004679356806202463,0.7724110602324762,0.8443994364212751,0.07198837618879894
RANSAC (Features),0.05,50,0.05,30,0.01737393291453196,0.01312922532425557,0.004244707590276389,0.9569390630503698,0.9576435364564988,0.0007044734061290026
RANSAC (Features),0.05,100,0.05,30,0.01737393291453196,0.013129225324255585,0.004244707590276373,0.9569390630503698,0.9576435364564988,0.0007044734061290026
RANSAC (Features),0.05,200,0.05,30,0.017373932914531955,0.013129225324255592,0.004244707590276363,0.9569390630503698,0.9576435364564988,0.0007044734061290026
RANSAC (Features),0.1,50,0.05,30,0.020636576620256045,0.0171250559377074,0.0035115206825486432,0.9835329341317365,0.9830926382529059,-0.00044029587883054333
RANSAC (Features),0.1,100,0.05,30,0.02063657662025604,0.017125055937707395,0.0035115206825486467,0.9835329341317365,0.9830926382529059,-0.00044029587883054333
RANSAC (Features),0.1,200,0.05,30,0.02063657662025604,0.01712505593770739,0.00351152068254865,0.9835329341317365,0.9830926382529059,-0.00044029587883054333
RANSAC (Features),0.2,50,0.05,30,0.02479684714081972,0.022039751110714777,0.0027570960301049434,0.9936597393448398,0.9935276505811905,-0.0001320887636492296
RANSAC (Features),0.2,100,0.05,30,0.024796847140819717,0.02203975111071474,0.002757096030104978,0.9936597393448398,0.9935276505811905,-0.0001320887636492296
RANSAC (Features),0.2,200,0.05,30,0.02479684714081972,0.02203975111071478,0.00275709603010494,0.9936597393448398,0.9935276505811905,-0.0001320887636492296
